https://ja.wikipedia.org/wiki/JIS_X_0213%E6%BC%A2%E5%AD%97%E4%B8%80%E8%A6%A7%E3%81%AE2%E9%9D%A2
2面1区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
孼 	2-05-90 	0xF29A 	U+5B7C 	第4水準 	
孿 	2-05-91 	0xF29B 	U+5B7F 	第4水準 	
宁 	2-05-92 	0xF29C 	U+5B81 	第4水準 	
宄 	2-05-93 	0xF29D 	U+5B84 	第4水準 	
𡧃 	2-05-94 	0xF29E 	U+219C3 	第4水準 	
2面8区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
宖 	2-08-01 	0xF09F 	U+5B96 	第4水準 	
宬 	2-08-02 	0xF0A0 	U+5BAC 	第4水準 	
㝡 	2-08-03 	0xF0A1 	U+3761 	第4水準 	
寀 	2-08-04 	0xF0A2 	U+5BC0 	第4水準 	
㝢 	2-08-05 	0xF0A3 	U+3762 	第4水準 	
寎 	2-08-06 	0xF0A4 	U+5BCE 	第4水準 	
寖 	2-08-07 	0xF0A5 	U+5BD6 	第4水準 	
㝬 	2-08-08 	0xF0A6 	U+376C 	第4水準 	
㝫 	2-08-09 	0xF0A7 	U+376B 	第4水準 	
寱 	2-08-10 	0xF0A8 	U+5BF1 	第4水準 	
寽 	2-08-11 	0xF0A9 	U+5BFD 	第4水準 	
㝵 	2-08-12 	0xF0AA 	U+3775 	第4水準 	
尃 	2-08-13 	0xF0AB 	U+5C03 	第4水準 	
尩 	2-08-14 	0xF0AC 	U+5C29 	第4水準 	
尰 	2-08-15 	0xF0AD 	U+5C30 	第4水準 	
𡱖 	2-08-16 	0xF0AE 	U+21C56 	第4水準 	
屟 	2-08-17 	0xF0AF 	U+5C5F 	第4水準 	
屣 	2-08-18 	0xF0B0 	U+5C63 	第4水準 	
屧 	2-08-19 	0xF0B1 	U+5C67 	第4水準 	
屨 	2-08-20 	0xF0B2 	U+5C68 	第4水準 	
屩 	2-08-21 	0xF0B3 	U+5C69 	第4水準 	
屰 	2-08-22 	0xF0B4 	U+5C70 	第4水準 	
𡴭 	2-08-23 	0xF0B5 	U+21D2D 	第4水準 	
𡵅 	2-08-24 	0xF0B6 	U+21D45 	第4水準 	
屼 	2-08-25 	0xF0B7 	U+5C7C 	第4水準 	
𡵸 	2-08-26 	0xF0B8 	U+21D78 	第4水準 	
𡵢 	2-08-27 	0xF0B9 	U+21D62 	第4水準 	
岈 	2-08-28 	0xF0BA 	U+5C88 	第4水準 	
岊 	2-08-29 	0xF0BB 	U+5C8A 	第4水準 	
㟁 	2-08-30 	0xF0BC 	U+37C1 	第4水準 	
𡶡 	2-08-31 	0xF0BD 	U+21DA1 	第4水準 	
𡶜 	2-08-32 	0xF0BE 	U+21D9C 	第4水準 	
岠 	2-08-33 	0xF0BF 	U+5CA0 	第4水準 	
岢 	2-08-34 	0xF0C0 	U+5CA2 	第4水準 	
